financials.Date,Sum(financials. Sales)
2013-12-31T18:30:00.000Z,6607761.68
2014-01-31T18:30:00.000Z,7297531.390000001
2014-02-28T18:30:00.000Z,5586859.869999999
2014-03-31T18:30:00.000Z,6964775.07
2014-04-30T18:30:00.000Z,6210211.0600000005
2014-05-31T18:30:00.000Z,9518893.819999997
2014-06-30T18:30:00.000Z,8102920.180000002
2014-07-31T18:30:00.000Z,5864622.42
2014-08-31T18:30:00.000Z,6398697.24
2014-09-30T18:30:00.000Z,12375819.920000004
2014-10-31T18:30:00.000Z,5384214.2
2014-11-30T18:30:00.000Z,11998787.9
