Orders.Ship Date,Orders.Segment,Measure.Total Cost,Measure.Total Order,Measure.Total Profit,Orders.__Images
2016-12-01T18:30:00.000Z,Consumer,12817.262200000001,3,-6884.697200000001,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2016-12-01T18:30:00.000Z,Corporate,458.898,2,12.974,https://cdn-icons-png.flaticon.com/512/632/632407.png
2016-12-01T18:30:00.000Z,Home Office,,,,
2017-09-25T18:30:00.000Z,Consumer,15440.821500000002,6,715.9355,https://cdn-icons-png.flaticon.com/512/632/632407.png
2017-09-25T18:30:00.000Z,Corporate,2131.9608000000007,2,530.2652,https://cdn-icons-png.flaticon.com/512/632/632407.png
2017-09-25T18:30:00.000Z,Home Office,239.02540000000002,2,22.726599999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2017-10-23T18:30:00.000Z,Consumer,1773.5474,2,-126.7721999999999,https://cdn-icons-png.flaticon.com/512/632/632407.png
2017-10-23T18:30:00.000Z,Corporate,4839.119,4,-27.859000000000094,https://cdn-icons-png.flaticon.com/512/632/632407.png
2017-10-23T18:30:00.000Z,Home Office,9625.292300000001,1,4597.1657,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2017-11-03T18:30:00.000Z,Consumer,517.5489000000001,1,111.14109999999998,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2017-11-03T18:30:00.000Z,Corporate,12262.759399999999,1,-3825.339399999999,https://cdn-icons-png.flaticon.com/512/1584/1584911.png
2017-11-03T18:30:00.000Z,Home Office,2265.4021000000002,3,248.56789999999992,https://cdn-icons-png.flaticon.com/512/632/632407.png
2018-09-22T18:30:00.000Z,Consumer,8796.2181,2,554.1778999999996,https://cdn-icons-png.flaticon.com/512/632/632407.png
2018-09-22T18:30:00.000Z,Corporate,3883.2836,3,670.6364,https://cdn-icons-png.flaticon.com/512/632/632407.png
2018-09-22T18:30:00.000Z,Home Office,926.2792,2,21.996799999999997,https://cdn-icons-png.flaticon.com/512/632/632407.png
